Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso GPU (%),Memoria GPU usada (MB)
2025-08-17 13:53:25,48,50,1,0
2025-08-17 13:53:30,48,50,1,0
2025-08-17 13:53:36,48,51,1,0
2025-08-17 13:53:41,48,51,1,0
2025-08-17 13:53:47,48,51,1,0
2025-08-17 13:53:52,48,50,1,0
2025-08-17 13:53:58,48,51,1,0
2025-08-17 13:54:03,48,51,1,0
2025-08-17 13:54:09,48,51,1,0
2025-08-17 13:54:15,48,51,1,0
2025-08-17 13:54:20,48,51,1,0
2025-08-17 13:54:26,48,51,1,0
2025-08-17 13:54:31,48,51,1,0
2025-08-17 13:54:37,48,51,1,0
2025-08-17 13:54:42,48,51,1,0
2025-08-17 13:54:48,48,51,1,0
2025-08-17 13:54:53,48,51,1,0
2025-08-17 13:54:59,48,51,1,0
2025-08-17 13:55:04,48,51,1,0
2025-08-17 13:55:10,48,51,1,0
2025-08-17 13:55:15,48,51,1,0
2025-08-17 13:55:21,48,51,1,0
2025-08-17 13:55:26,48,51,1,0
2025-08-17 13:55:32,48,51,1,0
2025-08-17 13:55:37,48,51,1,0
2025-08-17 13:55:43,48,51,1,0
2025-08-17 13:55:48,48,51,1,0
2025-08-17 13:55:54,48,51,1,0
2025-08-17 13:55:59,48,51,1,0
2025-08-17 13:56:05,48,51,1,0
2025-08-17 13:56:10,48,51,1,0
2025-08-17 13:56:16,48,51,1,0
2025-08-17 13:56:21,48,51,1,0
2025-08-17 13:56:27,48,51,1,0
2025-08-17 13:56:32,48,51,1,0
2025-08-17 13:56:38,48,51,1,0
2025-08-17 13:56:43,48,51,1,0
2025-08-17 13:56:49,48,51,1,0
2025-08-17 13:56:55,48,51,1,0
2025-08-17 13:57:00,48,51,1,0
2025-08-17 13:57:06,48,51,1,0
2025-08-17 13:57:11,48,51,1,0
2025-08-17 13:57:17,48,51,1,0
2025-08-17 13:57:22,48,51,1,0
2025-08-17 13:57:28,48,51,1,0
2025-08-17 13:57:33,48,51,1,0
2025-08-17 13:57:39,48,51,1,0
2025-08-17 13:57:44,48,51,1,0
2025-08-17 13:57:50,48,51,1,0
2025-08-17 13:57:55,48,51,1,0
2025-08-17 13:58:01,48,51,1,0
2025-08-17 13:58:06,48,51,1,0
2025-08-17 13:58:12,48,51,1,0
2025-08-17 13:58:17,48,51,1,0
2025-08-17 13:58:23,48,51,1,0
2025-08-17 13:58:28,48,51,1,0
2025-08-17 13:58:34,48,51,1,0
2025-08-17 13:58:39,48,51,1,0
2025-08-17 13:58:45,48,51,1,0
2025-08-17 13:58:50,48,50,1,0
2025-08-17 13:58:56,48,50,1,0
2025-08-17 13:59:01,48,51,1,0
2025-08-17 13:59:07,48,51,1,0
2025-08-17 13:59:12,48,51,1,0
2025-08-17 13:59:18,48,51,1,0
2025-08-17 13:59:23,48,50,1,0
2025-08-17 13:59:29,48,50,1,0
2025-08-17 13:59:34,48,50,1,0
2025-08-17 13:59:40,48,50,1,0
2025-08-17 13:59:45,48,50,1,0
2025-08-17 13:59:51,48,50,1,0
2025-08-17 13:59:56,48,50,1,0
2025-08-17 14:00:02,48,50,1,0
2025-08-17 14:00:07,48,50,1,0
2025-08-17 14:00:13,48,50,1,0
2025-08-17 14:00:18,48,50,1,0
2025-08-17 14:00:24,48,50,1,0
2025-08-17 14:00:29,48,50,1,0
2025-08-17 14:00:35,48,50,1,0
2025-08-17 14:00:40,48,50,1,0
2025-08-17 14:00:46,48,50,1,0
2025-08-17 14:00:51,48,50,1,0
2025-08-17 14:00:57,48,50,1,0
2025-08-17 14:01:03,48,50,1,0
2025-08-17 14:01:08,48,50,1,0
2025-08-17 14:01:14,48,50,1,0
2025-08-17 14:01:19,48,50,1,0
2025-08-17 14:01:25,48,50,1,0
2025-08-17 14:01:30,48,50,1,0
2025-08-17 14:01:36,48,50,1,0
2025-08-17 14:01:41,48,50,1,0
2025-08-17 14:01:47,48,50,1,0
2025-08-17 14:01:52,48,50,1,0
2025-08-17 14:01:58,48,50,1,0
2025-08-17 14:02:03,48,50,1,0
2025-08-17 14:02:09,48,50,1,0
2025-08-17 14:02:14,48,50,1,0
2025-08-17 14:02:20,48,50,1,0
2025-08-17 14:02:25,48,50,1,0
2025-08-17 14:02:31,48,51,1,0
2025-08-17 14:02:36,48,50,1,0
2025-08-17 14:02:42,48,50,1,0
2025-08-17 14:02:47,48,50,1,0
2025-08-17 14:02:53,48,51,1,0
2025-08-17 14:02:58,48,50,1,0
2025-08-17 14:03:04,48,50,1,0
2025-08-17 14:03:09,48,51,1,0
2025-08-17 14:03:15,48,51,1,0
2025-08-17 14:03:20,48,51,1,0
2025-08-17 14:03:26,48,51,1,0
2025-08-17 14:03:31,48,50,1,0
2025-08-17 14:03:37,48,51,1,0
2025-08-17 14:03:42,48,51,1,0
2025-08-17 14:03:48,48,51,1,0
2025-08-17 14:03:53,48,51,1,0
2025-08-17 14:03:59,48,51,1,0
2025-08-17 14:04:05,48,51,1,0
2025-08-17 14:04:10,48,51,1,0
2025-08-17 14:04:16,48,51,1,0
2025-08-17 14:04:21,48,51,1,0
2025-08-17 14:04:27,48,51,1,0
2025-08-17 14:04:32,48,51,1,0
2025-08-17 14:04:38,48,51,1,0
2025-08-17 14:04:43,48,51,1,0
2025-08-17 14:04:49,48,51,1,0
2025-08-17 14:04:54,48,51,1,0
2025-08-17 14:05:00,48,51,1,0
2025-08-17 14:05:05,48,51,1,0
2025-08-17 14:05:11,48,51,1,0
2025-08-17 14:05:16,48,51,1,0
2025-08-17 14:05:22,48,51,1,0
2025-08-17 14:05:27,48,51,1,0
2025-08-17 14:05:33,48,51,1,0
2025-08-17 14:05:38,48,51,1,0
2025-08-17 14:05:44,48,51,1,0
2025-08-17 14:05:49,48,51,1,0
2025-08-17 14:05:55,48,51,1,0
2025-08-17 14:06:00,48,51,1,0
2025-08-17 14:06:06,48,51,1,0
2025-08-17 14:06:11,48,51,1,0
2025-08-17 14:06:17,48,51,1,0
2025-08-17 14:06:23,48,51,1,0
2025-08-17 14:06:28,48,51,1,0
2025-08-17 14:06:34,48,51,1,0
2025-08-17 14:06:39,48,51,1,0
2025-08-17 14:06:45,48,51,1,0
2025-08-17 14:06:50,48,51,1,0
2025-08-17 14:06:56,48,51,1,0
2025-08-17 14:07:01,48,51,1,0
2025-08-17 14:07:07,48,51,1,0
2025-08-17 14:07:12,48,51,1,0
2025-08-17 14:07:18,48,51,1,0
2025-08-17 14:07:23,48,51,1,0
2025-08-17 14:07:29,48,51,1,0
2025-08-17 14:07:34,48,51,1,0
2025-08-17 14:07:40,48,51,1,0
2025-08-17 14:07:45,48,51,1,0
2025-08-17 14:07:51,48,51,1,0
2025-08-17 14:07:56,48,51,1,0
2025-08-17 14:08:02,48,51,1,0
2025-08-17 14:08:07,48,51,1,0
2025-08-17 14:08:13,48,51,1,0
2025-08-17 14:08:18,48,51,1,0
2025-08-17 14:08:24,48,51,1,0
2025-08-17 14:08:29,48,51,1,0
2025-08-17 14:08:35,48,51,1,0
2025-08-17 14:08:40,48,51,1,0
2025-08-17 14:08:46,48,51,1,0
2025-08-17 14:08:51,48,51,1,0
2025-08-17 14:08:57,48,51,1,0
2025-08-17 14:09:03,48,51,1,0
2025-08-17 14:09:08,48,51,1,0
2025-08-17 14:09:14,48,50,1,0
2025-08-17 14:09:19,48,50,1,0
2025-08-17 14:09:25,48,50,1,0
2025-08-17 14:09:30,48,50,1,0
2025-08-17 14:09:36,48,50,1,0
2025-08-17 14:09:41,48,50,1,0
2025-08-17 14:09:47,48,50,1,0
2025-08-17 14:09:52,48,50,1,0
2025-08-17 14:09:58,48,50,1,0
2025-08-17 14:10:03,48,50,1,0
2025-08-17 14:10:09,48,50,1,0
2025-08-17 14:10:14,48,50,1,0
2025-08-17 14:10:20,48,50,1,0
2025-08-17 14:10:25,48,50,1,0
2025-08-17 14:10:31,48,50,1,0
2025-08-17 14:10:37,48,50,1,0
2025-08-17 14:10:42,48,50,1,0
2025-08-17 14:10:48,48,50,1,0
2025-08-17 14:10:53,48,50,1,0
